year,Value,Units,variable_code
2023,Financial position, Forestry and Fishing",Dollars (millions)
2023,Financial ratios, Forestry and Fishing",Dollars
2023,Financial ratios, Forestry and Fishing",Dollars
2023,Financial ratios, Forestry and Fishing",Percentage
2023,Financial ratios, Forestry and Fishing",Percentage
2023,Financial ratios, Forestry and Fishing",Percentage
2023,Financial ratios, Forestry and Fishing",Percentage
2023,Financial ratios, Forestry and Fishing",Percentage
2023,6011,Dollars (millions),H01
2023, grants and subsidies",Dollars (millions),H04
2023,Financial performance,Dollars (millions),H05
2023,408,Dollars (millions),H07
2023,5270,Dollars (millions),H08
2023,337,Dollars (millions),H09
2023,43,Dollars (millions),H10
2023,376,Dollars (millions),H11
2023,977,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,3498,Dollars (millions),H19
2023,39,Dollars (millions),H20
2023,395,Dollars (millions),H21
2023,438,Dollars (millions),H22
2023,784,Dollars (millions),H23
2023,21791,Dollars (millions),H24
2023,3518,Dollars (millions),H25
2023,13836,Dollars (millions),H26
2023,4438,Dollars (millions),H29
2023,21791,Dollars (millions),H30
2023,10361,Dollars (millions),H31
2023,4237,Dollars (millions),H32
2023,7193,Dollars (millions),H33
2023,243600,Dollars,H34
2023,31800,Dollars,H35
2023,83,Percentage,H36
2023,73,Percentage,H37
2023,8,Percentage,H39
2023,4,Percentage,H40
2023,48,Percentage,H41
2023,6011,Dollars (millions),H01
2023, grants and subsidies",Dollars (millions),H04
2023,Financial performance,Dollars (millions),H05
2023,408,Dollars (millions),H07
2023,5270,Dollars (millions),H08
2023,337,Dollars (millions),H09
2023,43,Dollars (millions),H10
2023,376,Dollars (millions),H11
2023,977,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,3498,Dollars (millions),H19
2023,39,Dollars (millions),H20
2023,395,Dollars (millions),H21
2023,438,Dollars (millions),H22
2023,784,Dollars (millions),H23
2023,21791,Dollars (millions),H24
2023,3518,Dollars (millions),H25
2023,13836,Dollars (millions),H26
2023,4438,Dollars (millions),H29
2023,21791,Dollars (millions),H30
2023,10361,Dollars (millions),H31
2023,4237,Dollars (millions),H32
2023,7193,Dollars (millions),H33
2023,243600,Dollars,H34
2023,31800,Dollars,H35
2023,83,Percentage,H36
2023,73,Percentage,H37
2023,8,Percentage,H39
2023,4,Percentage,H40
2023,48,Percentage,H41
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023, government funding, Beef Cattle and Grain Farming",Dollars (millions)
2023, dividends and donations", Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial position, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial position, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial position, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial position, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial position, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial position, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial position, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial position, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial ratios, Beef Cattle and Grain Farming",Dollars
2023,Financial ratios, Beef Cattle and Grain Farming",Dollars
2023,Financial ratios, Beef Cattle and Grain Farming",Percentage
2023,Financial ratios, Beef Cattle and Grain Farming",Percentage
2023,Financial ratios, Beef Cattle and Grain Farming",Percentage
2023,Financial ratios, Beef Cattle and Grain Farming",Percentage
2023,Financial ratios, Beef Cattle and Grain Farming",Percentage
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023, government funding, Beef Cattle and Grain Farming",Dollars (millions)
2023, dividends and donations", Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial performance, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial position, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial position, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial position, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial position, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial position, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial position, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial position, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial position, Beef Cattle and Grain Farming",Dollars (millions)
2023,Financial ratios, Beef Cattle and Grain Farming",Dollars
2023,Financial ratios, Beef Cattle and Grain Farming",Dollars
2023,Financial ratios, Beef Cattle and Grain Farming",Percentage
2023,Financial ratios, Beef Cattle and Grain Farming",Percentage
2023,Financial ratios, Beef Cattle and Grain Farming",Percentage
2023,Financial ratios, Beef Cattle and Grain Farming",Percentage
2023,Financial ratios, Beef Cattle and Grain Farming",Percentage
2023,17849,Dollars (millions),H01
2023, grants and subsidies",Dollars (millions),H04
2023,Financial performance,Dollars (millions),H05
2023,370,Dollars (millions),H07
2023,15227,Dollars (millions),H08
2023,1782,Dollars (millions),H09
2023,187,Dollars (millions),H10
2023,735,Dollars (millions),H11
2023,1911,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,10559,Dollars (millions),H19
2023,54,Dollars (millions),H20
2023,6052,Dollars (millions),H21
2023,6202,Dollars (millions),H22
2023,2771,Dollars (millions),H23
2023,71040,Dollars (millions),H24
2023,13257,Dollars (millions),H25
2023,46819,Dollars (millions),H26
2023,10965,Dollars (millions),H29
2023,71040,Dollars (millions),H30
2023,28605,Dollars (millions),H31
2023,12307,Dollars (millions),H32
2023,30128,Dollars (millions),H33
2023,724200,Dollars,H34
2023,112400,Dollars,H35
2023,108,Percentage,H36
2023,57,Percentage,H37
2023,10,Percentage,H39
2023,4,Percentage,H40
2023,40,Percentage,H41
2023,17849,Dollars (millions),H01
2023, grants and subsidies",Dollars (millions),H04
2023,Financial performance,Dollars (millions),H05
2023,370,Dollars (millions),H07
2023,15227,Dollars (millions),H08
2023,1782,Dollars (millions),H09
2023,187,Dollars (millions),H10
2023,735,Dollars (millions),H11
2023,1911,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,10559,Dollars (millions),H19
2023,54,Dollars (millions),H20
2023,6052,Dollars (millions),H21
2023,6202,Dollars (millions),H22
2023,2771,Dollars (millions),H23
2023,71040,Dollars (millions),H24
2023,13257,Dollars (millions),H25
2023,46819,Dollars (millions),H26
2023,10965,Dollars (millions),H29
2023,71040,Dollars (millions),H30
2023,28605,Dollars (millions),H31
2023,12307,Dollars (millions),H32
2023,30128,Dollars (millions),H33
2023,724200,Dollars,H34
2023,112400,Dollars,H35
2023,108,Percentage,H36
2023,57,Percentage,H37
2023,10,Percentage,H39
2023,4,Percentage,H40
2023,40,Percentage,H41
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023, government funding, Deer and Other Livestock Farming",Dollars (millions)
2023, dividends and donations", Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial position, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial position, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial position, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial position, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial position, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial position, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial position, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial position, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial ratios, Deer and Other Livestock Farming",Dollars
2023,Financial ratios, Deer and Other Livestock Farming",Dollars
2023,Financial ratios, Deer and Other Livestock Farming",Percentage
2023,Financial ratios, Deer and Other Livestock Farming",Percentage
2023,Financial ratios, Deer and Other Livestock Farming",Percentage
2023,Financial ratios, Deer and Other Livestock Farming",Percentage
2023,Financial ratios, Deer and Other Livestock Farming",Percentage
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023, government funding, Deer and Other Livestock Farming",Dollars (millions)
2023, dividends and donations", Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial performance, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial position, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial position, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial position, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial position, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial position, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial position, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial position, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial position, Deer and Other Livestock Farming",Dollars (millions)
2023,Financial ratios, Deer and Other Livestock Farming",Dollars
2023,Financial ratios, Deer and Other Livestock Farming",Dollars
2023,Financial ratios, Deer and Other Livestock Farming",Percentage
2023,Financial ratios, Deer and Other Livestock Farming",Percentage
2023,Financial ratios, Deer and Other Livestock Farming",Percentage
2023,Financial ratios, Deer and Other Livestock Farming",Percentage
2023,Financial ratios, Deer and Other Livestock Farming",Percentage
2023,6424,Dollars (millions),H01
2023,5897,Dollars (millions),H04
2023,Financial performance,Dollars (millions),H05
2023,Financial performance,Dollars (millions),H06
2023,465,Dollars (millions),H07
2023,6304,Dollars (millions),H08
2023,298,Dollars (millions),H09
2023,27,Dollars (millions),H10
2023,285,Dollars (millions),H11
2023,447,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,4355,Dollars (millions),H19
2023,893,Dollars (millions),H20
2023,180,Dollars (millions),H21
2023,180,Dollars (millions),H22
2023,120,Dollars (millions),H23
2023,32001,Dollars (millions),H24
2023,2133,Dollars (millions),H25
2023,7805,Dollars (millions),H26
2023,22063,Dollars (millions),H29
2023,32001,Dollars (millions),H30
2023,20352,Dollars (millions),H31
2023,3672,Dollars (millions),H32
2023,7977,Dollars (millions),H33
2023,1280600,Dollars,H34
2023,23900,Dollars,H35
2023,58,Percentage,H36
2023,53,Percentage,H37
2023,1,Percentage,H39
2023,0,Percentage,H40
2023,64,Percentage,H41
2023,6424,Dollars (millions),H01
2023,5897,Dollars (millions),H04
2023,Financial performance,Dollars (millions),H05
2023,Financial performance,Dollars (millions),H06
2023,465,Dollars (millions),H07
2023,6304,Dollars (millions),H08
2023,298,Dollars (millions),H09
2023,27,Dollars (millions),H10
2023,285,Dollars (millions),H11
2023,447,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,4355,Dollars (millions),H19
2023,893,Dollars (millions),H20
2023,180,Dollars (millions),H21
2023,180,Dollars (millions),H22
2023,120,Dollars (millions),H23
2023,32001,Dollars (millions),H24
2023,2133,Dollars (millions),H25
2023,7805,Dollars (millions),H26
2023,22063,Dollars (millions),H29
2023,32001,Dollars (millions),H30
2023,20352,Dollars (millions),H31
2023,3672,Dollars (millions),H32
2023,7977,Dollars (millions),H33
2023,1280600,Dollars,H34
2023,23900,Dollars,H35
2023,58,Percentage,H36
2023,53,Percentage,H37
2023,1,Percentage,H39
2023,0,Percentage,H40
2023,64,Percentage,H41
2023,1715,Dollars (millions),H01
2023, grants and subsidies",Dollars (millions),H04
2023,Financial performance,Dollars (millions),H05
2023,18,Dollars (millions),H07
2023,1539,Dollars (millions),H08
2023,33,Dollars (millions),H09
2023,17,Dollars (millions),H10
2023,80,Dollars (millions),H11
2023,271,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,1120,Dollars (millions),H19
2023,19,Dollars (millions),H20
2023,210,Dollars (millions),H21
2023,222,Dollars (millions),H22
2023,187,Dollars (millions),H23
2023,2704,Dollars (millions),H24
2023,814,Dollars (millions),H25
2023,706,Dollars (millions),H26
2023,1184,Dollars (millions),H29
2023,2704,Dollars (millions),H30
2023,1315,Dollars (millions),H31
2023,556,Dollars (millions),H32
2023,833,Dollars (millions),H33
2023,573500,Dollars,H34
2023,62600,Dollars,H35
2023,146,Percentage,H36
2023,106,Percentage,H37
2023,14,Percentage,H39
2023,7,Percentage,H40
2023,49,Percentage,H41
2023,Financial performance, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial performance, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023, dividends and donations", Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023, grants and subsidies", Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial performance, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial performance, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial performance, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial performance, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial performance, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial performance, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial performance, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial performance, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial performance, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial performance, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial performance, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial performance, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial position, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial position, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial position, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial position, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial position, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial position, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial position, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial position, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2023,Financial ratios, Forestry and Fishing Support Services and Hunting",Dollars
2023,Financial ratios, Forestry and Fishing Support Services and Hunting",Dollars
2023,Financial ratios, Forestry and Fishing Support Services and Hunting",Percentage
2023,Financial ratios, Forestry and Fishing Support Services and Hunting",Percentage
2023,Financial ratios, Forestry and Fishing Support Services and Hunting",Percentage
2023,Financial ratios, Forestry and Fishing Support Services and Hunting",Percentage
2023,Financial ratios, Forestry and Fishing Support Services and Hunting",Percentage
2023,6237,Dollars (millions),H01
2023,5709,Dollars (millions),H04
2023,Financial performance,Dollars (millions),H05
2023,Financial performance,Dollars (millions),H06
2023,438,Dollars (millions),H07
2023,5232,Dollars (millions),H08
2023,171,Dollars (millions),H09
2023,47,Dollars (millions),H10
2023,799,Dollars (millions),H11
2023,754,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,2657,Dollars (millions),H19
2023,804,Dollars (millions),H20
2023,373,Dollars (millions),H21
2023,475,Dollars (millions),H22
2023,1106,Dollars (millions),H23
2023,12637,Dollars (millions),H24
2023,4191,Dollars (millions),H25
2023,6042,Dollars (millions),H26
2023,1371,Dollars (millions),H27
2023,131,Dollars (millions),H28
2023,2405,Dollars (millions),H29
2023,12637,Dollars (millions),H30
2023,4342,Dollars (millions),H31
2023,2965,Dollars (millions),H32
2023,5330,Dollars (millions),H33
2023,1008600,Dollars,H34
2023,178900,Dollars,H35
2023,141,Percentage,H36
2023,125,Percentage,H37
2023,25,Percentage,H39
2023,9,Percentage,H40
2023,34,Percentage,H41
2023,131578,Dollars (millions),H01
2023,7804,Dollars (millions),H02
2023,122081,Dollars (millions),H03
2023,Financial performance,Dollars (millions),H05
2023,Financial performance,Dollars (millions),H06
2023,943,Dollars (millions),H07
2023,122767,Dollars (millions),H08
2023,1033,Dollars (millions),H09
2023,938,Dollars (millions),H10
2023,3878,Dollars (millions),H11
2023,18911,Dollars (millions),H12
2023,37,Dollars (millions),H13
2023,5297,Dollars (millions),H17
2023,91700,Dollars (millions),H18
2023,1009,Dollars (millions),H20
2023,18180,Dollars (millions),H21
2023,19392,Dollars (millions),H22
2023,10023,Dollars (millions),H23
2023,105992,Dollars (millions),H24
2023,51626,Dollars (millions),H25
2023,31127,Dollars (millions),H26
2023,4894,Dollars (millions),H27
2023,1077,Dollars (millions),H28
2023,23239,Dollars (millions),H29
2023,105992,Dollars (millions),H30
2023,50126,Dollars (millions),H31
2023,33507,Dollars (millions),H32
2023,22359,Dollars (millions),H33
2023,545300,Dollars,H34
2023,41500,Dollars,H35
2023,154,Percentage,H36
2023,96,Percentage,H37
2023,32,Percentage,H38
2023,20,Percentage,H39
2023,9,Percentage,H40
2023,47,Percentage,H41
2023,7458,Dollars (millions),H01
2023,523,Dollars (millions),H02
2023,6762,Dollars (millions),H03
2023,Financial performance,Dollars (millions),H05
2023,Financial performance,Dollars (millions),H06
2023,148,Dollars (millions),H07
2023,7014,Dollars (millions),H08
2023,119,Dollars (millions),H09
2023,619,Dollars (millions),H10
2023,347,Dollars (millions),H11
2023,764,Dollars (millions),H12
2023,1,Dollars (millions),H13
2023,357,Dollars (millions),H17
2023,4753,Dollars (millions),H18
2023,56,Dollars (millions),H20
2023,2029,Dollars (millions),H21
2023,2384,Dollars (millions),H22
2023,798,Dollars (millions),H23
2023,11326,Dollars (millions),H24
2023,5228,Dollars (millions),H25
2023,4062,Dollars (millions),H26
2023,576,Dollars (millions),H27
2023,74,Dollars (millions),H28
2023,2035,Dollars (millions),H29
2023,11326,Dollars (millions),H30
2023,5704,Dollars (millions),H31
2023,3025,Dollars (millions),H32
2023,2596,Dollars (millions),H33
2023,703000,Dollars,H34
2023,75200,Dollars,H35
2023,173,Percentage,H36
2023,94,Percentage,H37
2023,32,Percentage,H38
2023,14,Percentage,H39
2023,7,Percentage,H40
2023,50,Percentage,H41
2023,7458,Dollars (millions),H01
2023,523,Dollars (millions),H02
2023,6762,Dollars (millions),H03
2023,Financial performance,Dollars (millions),H05
2023,Financial performance,Dollars (millions),H06
2023,148,Dollars (millions),H07
2023,7014,Dollars (millions),H08
2023,119,Dollars (millions),H09
2023,619,Dollars (millions),H10
2023,347,Dollars (millions),H11
2023,764,Dollars (millions),H12
2023,1,Dollars (millions),H13
2023,357,Dollars (millions),H17
2023,4753,Dollars (millions),H18
2023,56,Dollars (millions),H20
2023,2029,Dollars (millions),H21
2023,2384,Dollars (millions),H22
2023,798,Dollars (millions),H23
2023,11326,Dollars (millions),H24
2023,5228,Dollars (millions),H25
2023,4062,Dollars (millions),H26
2023,576,Dollars (millions),H27
2023,74,Dollars (millions),H28
2023,2035,Dollars (millions),H29
2023,11326,Dollars (millions),H30
2023,5704,Dollars (millions),H31
2023,3025,Dollars (millions),H32
2023,2596,Dollars (millions),H33
2023,703000,Dollars,H34
2023,75200,Dollars,H35
2023,173,Percentage,H36
2023,94,Percentage,H37
2023,32,Percentage,H38
2023,14,Percentage,H39
2023,7,Percentage,H40
2023,50,Percentage,H41
2023,Total income, Leather, Clothing and Footwear Manufacturing"
2023,Sales of goods not further processed, Leather, Clothing and Footwear Manufacturing"
2023,Sales of other goods and services, Leather, Clothing and Footwear Manufacturing"
2023,"Interest, Leather, Clothing and Footwear Manufacturing"
2023,"Government funding, Leather, Clothing and Footwear Manufacturing"
2023,Non-operating income, Leather, Clothing and Footwear Manufacturing"
2023,Total expenditure, Leather, Clothing and Footwear Manufacturing"
2023,Interest and donations, Leather, Clothing and Footwear Manufacturing"
2023,Indirect taxes, Leather, Clothing and Footwear Manufacturing"
2023,Depreciation, Leather, Clothing and Footwear Manufacturing"
2023,Salaries and wages paid, Leather, Clothing and Footwear Manufacturing"
2023,Redundancy and severance, Leather, Clothing and Footwear Manufacturing"
2023,Purchases of goods bought for resale, Leather, Clothing and Footwear Manufacturing"
2023,Other Purchases and operating expenses, Leather, Clothing and Footwear Manufacturing"
2023,Non-operating expenses, Leather, Clothing and Footwear Manufacturing"
2023,Opening stocks, Leather, Clothing and Footwear Manufacturing"
2023,Closing stocks, Leather, Clothing and Footwear Manufacturing"
2023,Surplus before income tax, Leather, Clothing and Footwear Manufacturing"
2023,Total assets, Leather, Clothing and Footwear Manufacturing"
2023,Current assets, Leather, Clothing and Footwear Manufacturing"
2023,Fixed tangible assets, Leather, Clothing and Footwear Manufacturing"
2023,Additions to fixed assets, Leather, Clothing and Footwear Manufacturing"
2023,Disposals of fixed assets, Leather, Clothing and Footwear Manufacturing"
2023,Other assets, Leather, Clothing and Footwear Manufacturing"
2023,Total equity and liabilities, Leather, Clothing and Footwear Manufacturing"
2023,Shareholders funds or owners equity, Leather, Clothing and Footwear Manufacturing"
2023,Current liabilities, Leather, Clothing and Footwear Manufacturing"
2023,Other liabilities, Leather, Clothing and Footwear Manufacturing"
2023,Total income per employee count, Leather, Clothing and Footwear Manufacturing"
2023,Surplus per employee count, Leather, Clothing and Footwear Manufacturing"
2023,Current ratio, Leather, Clothing and Footwear Manufacturing"
2023,Quick ratio, Leather, Clothing and Footwear Manufacturing"
2023,Margin on sales of goods for resale, Leather, Clothing and Footwear Manufacturing"
2023,Return on equity, Leather, Clothing and Footwear Manufacturing"
2023,Return on total assets, Leather, Clothing and Footwear Manufacturing"
2023,Liabilities structure, Leather, Clothing and Footwear Manufacturing"
2023,1735,Dollars (millions),H01
2023,236,Dollars (millions),H02
2023,1479,Dollars (millions),H03
2023,Financial performance,Dollars (millions),H05
2023,Financial performance,Dollars (millions),H06
2023,5,Dollars (millions),H07
2023,1665,Dollars (millions),H08
2023,25,Dollars (millions),H09
2023,8,Dollars (millions),H10
2023,41,Dollars (millions),H11
2023,377,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,157,Dollars (millions),H17
2023,1043,Dollars (millions),H18
2023,14,Dollars (millions),H20
2023,331,Dollars (millions),H21
2023,349,Dollars (millions),H22
2023,88,Dollars (millions),H23
2023,1656,Dollars (millions),H24
2023,906,Dollars (millions),H25
2023,359,Dollars (millions),H26
2023,57,Dollars (millions),H27
2023,14,Dollars (millions),H28
2023,391,Dollars (millions),H29
2023,1656,Dollars (millions),H30
2023,623,Dollars (millions),H31
2023,591,Dollars (millions),H32
2023,441,Dollars (millions),H33
2023,329900,Dollars,H34
2023,16800,Dollars,H35
2023,153,Percentage,H36
2023,94,Percentage,H37
2023,34,Percentage,H38
2023,14,Percentage,H39
2023,5,Percentage,H40
2023,38,Percentage,H41
2023,Financial performance, Knitted Products and Footwear Manufacturing",Dollars (millions)
2023,Financial performance, Knitted Products and Footwear Manufacturing",Dollars (millions)
2023,Financial performance, Knitted Products and Footwear Manufacturing",Dollars (millions)
2023, dividends and donations", Knitted Products and Footwear Manufacturing",Dollars (millions)
2023, grants and subsidies", Knitted Products and Footwear Manufacturing",Dollars (millions)
2023,Financial performance, Knitted Products and Footwear Manufacturing",Dollars (millions)
2023,Financial performance, Knitted Products and Footwear Manufacturing",Dollars (millions)
2023,Financial performance, Knitted Products and Footwear Manufacturing",Dollars (millions)
